timestamp,theta,dist_mm,quality
1779353228060,0.10,00146.00,47
1779353228060,0.47,00146.00,47
1779353228060,0.81,00146.00,47
1779353228060,1.34,00146.00,47
1779353228060,1.69,00146.00,47
1779353228060,2.04,00146.00,47
1779353228060,2.39,00146.00,47
1779353228060,2.73,00146.00,47
1779353228060,3.14,00145.00,47
1779353228060,3.48,00145.00,47
1779353228060,3.82,00145.00,47
1779353228060,4.17,00145.00,47
1779353228060,4.53,00145.00,47
1779353228060,4.87,00145.00,47
1779353228060,5.22,00145.00,47
1779353228060,5.56,00145.00,47
1779353228060,5.91,00145.00,47
1779353228060,6.25,00145.00,47
1779353228060,6.61,00145.00,47
1779353228060,6.89,00146.00,47
1779353228060,7.29,00145.00,47
1779353228060,7.64,00145.00,47
1779353228060,7.98,00145.00,47
1779353228060,8.28,00146.00,47
1779353228060,8.62,00146.00,47
1779353228060,8.96,00146.00,47
1779353228060,9.33,00146.00,47
1779353228060,9.67,00146.00,47
1779353228060,10.01,00146.00,47
1779353228060,10.35,00146.00,47
1779353228060,10.70,00146.00,47
1779353228060,11.05,00146.00,47
1779353228060,11.40,00146.00,47
1779353228060,11.75,00146.00,47
1779353228060,12.09,00146.00,47
1779353228060,12.44,00146.00,47
1779353228060,12.78,00146.00,47
1779353228060,13.14,00146.00,47
1779353228060,13.48,00146.00,47
1779353228060,13.76,00147.00,47
1779353228060,14.11,00147.00,47
1779353228060,14.46,00147.00,47
1779353228060,14.81,00147.00,47
1779353228060,15.16,00147.00,47
1779353228060,15.50,00147.00,47
1779353228060,15.79,00148.00,47
1779353228060,16.14,00148.00,47
1779353228060,16.48,00148.00,47
1779353228060,16.83,00148.00,47
1779353228060,17.18,00148.00,47
1779353228060,17.47,00149.00,47
1779353228060,17.81,00149.00,47
1779353228060,18.15,00149.00,47
1779353228060,18.51,00149.00,47
1779353228060,18.86,00149.00,47
1779353228060,19.09,00150.00,47
1779353228060,19.43,00150.00,47
1779353228060,19.78,00150.00,47
1779353228060,20.12,00150.00,47
1779353228060,20.48,00150.00,47
1779353228060,20.76,00151.00,47
1779353228060,21.10,00151.00,47
1779353228060,21.45,00151.00,47
1779353228060,21.81,00151.00,47
1779353228060,22.09,00152.00,47
1779353228060,22.43,00152.00,47
1779353228060,22.80,00152.00,47
1779353228060,23.08,00153.00,47
1779353228060,23.42,00153.00,47
1779353228060,23.78,00153.00,47
1779353228060,24.12,00153.00,47
1779353228060,24.41,00154.00,47
1779353228060,24.75,00154.00,47
1779353228060,25.11,00154.00,47
1779353228060,25.39,00155.00,47
1779353228060,25.73,00155.00,47
1779353228060,26.09,00155.00,47
1779353228060,26.37,00156.00,47
1779353228060,26.72,00156.00,47
1779353228060,27.08,00156.00,47
1779353228060,27.36,00157.00,47
1779353228060,27.70,00157.00,47
1779353228060,28.00,00158.00,47
1779353228060,28.34,00158.00,47
1779353228060,28.69,00158.00,47
1779353228060,28.98,00159.00,47
1779353228060,29.33,00159.00,47
1779353228060,29.62,00160.00,47
1779353228060,29.97,00160.00,47
1779353228060,30.31,00160.00,47
1779353228060,30.59,00161.00,47
1779353228060,30.95,00161.00,47
1779353228060,31.23,00162.00,47
1779353228060,31.57,00162.00,47
1779353228060,31.87,00163.00,47
1779353228060,32.22,00163.00,47
1779353228060,32.51,00164.00,47
1779353228060,32.85,00164.00,47
1779353228060,33.20,00165.00,47
1779353228060,33.55,00165.00,47
1779353228060,33.84,00166.00,47
1779353228060,34.18,00166.00,47
1779353228060,34.48,00167.00,47
1779353228060,34.83,00167.00,47
1779353228060,35.12,00168.00,47
1779353228060,35.46,00168.00,47
1779353228060,35.76,00169.00,47
1779353228060,36.11,00169.00,47
1779353228060,36.40,00170.00,47
1779353228060,36.68,00171.00,47
1779353228060,37.05,00171.00,47
1779353228060,37.33,00172.00,47
1779353228060,37.68,00172.00,47
1779353228060,38.03,00173.00,47
1779353228060,38.31,00174.00,47
1779353228060,38.67,00174.00,47
1779353228060,38.95,00175.00,47
1779353228060,39.25,00176.00,47
1779353228060,39.59,00176.00,47
1779353228060,39.89,00177.00,47
1779353228060,40.23,00178.00,47
1779353228060,40.58,00178.00,47
1779353228060,40.87,00179.00,47
1779353228060,41.17,00180.00,47
1779353228060,41.51,00180.00,47
1779353228060,41.81,00181.00,47
1779353228060,42.15,00182.00,47
1779353228060,42.45,00183.00,47
1779353228060,42.73,00184.00,47
1779353228060,43.08,00184.00,47
1779353228060,43.37,00185.00,47
1779353228060,43.71,00186.00,47
1779353228060,44.01,00187.00,47
1779353228060,44.36,00187.00,47
1779353228060,44.65,00188.00,47
1779353228060,45.00,00189.00,47
1779353228060,45.30,00190.00,47
1779353228060,45.58,00191.00,47
